대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
서울특별시 성북구 안암동5가 163-10번지,11290,12500,0,0163,0010,10091820,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로 145 (안암동5가),기숙사C동,,,,0,112903005035,12502,0,145,,640260,127127.3,19.86,7351.71,6451.9,1.01,02000,공동주택,교육연구및복지시설,0,1,3,0,0,1,0,0,0,0,0,0,1,0,20031223,20041226,20040329,2003,3070088,건축과,1102,1102,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 산5번지,11290,12500,1,0005,0000,10091531,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,122.91,0,122.91,122.91,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 산5-1번지,11290,12500,1,0005,0001,10091532,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,101.88,0,101.88,101.88,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 보문동4가 1번지,11290,12600,0,0001,0000,100911041,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,84.85,0,84.85,84.85,0,03000,제1종근린생활시설,제2종근린생활시설(영업용),0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 보문동4가 2-1번지,11290,12600,0,0002,0001,10091937,1,일반,1,총괄표제부,0,구대장,,,,,,0,,,0,0,0,594,265.52,44.7,316.92,316.92,53.35,03000,제1종근린생활시설,1종 근린생활시설,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 보문동4가 9-1번지,11290,12600,0,0009,0001,100911518,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 고려대로2길 34 (보문동4가),,,,,0,112904856584,12601,0,34,,178.2,113.56,63.73,172.3,172.3,96.69,04000,제2종근린생활시설,제2종근린생활시설,0,0,2,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 보문동4가 52번지,11290,12600,0,0052,0000,100911043,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 고려대로6길 54 (보문동4가),,,,,0,112904856587,12601,0,54,0,0,95.37,0,95.37,95.37,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 보문동4가 54번지,11290,12600,0,0054,0000,10091364,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 보문로22길 12 (보문동4가),,,,,0,112904121201,12602,0,12,,0,113.98,0,438.67,341.94,0,04000,제2종근린생활시설,"근린생활시설(점포), 주택",0,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 보문동4가 63번지,11290,12600,0,0063,0000,10091100215952,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,0,0,484.14,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 보문동4가 78번지,11290,12600,0,0078,0000,100911044,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,103.24,0,103.24,103.24,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
